date,marketing_spend,price,competitor_price,sales,customer_segment
2023-01-01,1058.2122794713039,93.51018084342213,85.74799792126551,511.03181773140153,Low Value
2023-01-02,1098.8758560603458,95.8826656580899,78.23326255640829,609.0682541635435,High Value
2023-01-03,1109.6352532128963,71.19917104632404,68.80616239212947,487.08010043158635,Low Value
2023-01-04,1105.802810027504,123.8145451222728,117.7651248869099,499.871831405448,Low Value
2023-01-05,1019.6874513935829,125.98793628528975,115.27562398406283,615.356862169568,High Value
2023-01-06,988.1573110065546,82.65707687900894,82.64812412350551,641.0272965089111,High Value
2023-01-07,909.7907316513122,112.3528169102229,94.48337638852112,535.1166175392866,Low Value
2023-01-08,1180.6717682855526,124.3414159396022,121.12585333440121,606.6336036319398,Medium Value
2023-01-09,1063.0348686810153,104.5257653899775,90.41948183483149,552.0377601473698,Low Value
2023-01-10,1049.870760040461,116.94802865153278,98.85362712006385,545.3987438413643,Low Value
2023-01-11,1218.981735480171,103.49666023982942,91.96003440981315,1000.0,Low Value
2023-01-12,1021.2903171655432,75.66290215281522,77.45664033989522,560.3092762949102,Low Value
2023-01-13,1204.6916631351642,120.98694784641731,108.79104235727785,639.8081739739088,High Value
2023-01-14,1160.9692697460282,126.50211323028401,109.1889436244502,584.9723522391804,Low Value
2023-01-15,1037.6311537625932,114.69002129760091,96.74630679544153,621.9981667261281,Medium Value
2023-01-16,1143.934777012333,80.91005476077159,72.29345676096236,686.0527586530386,High Value
2023-01-17,1258.9125149917404,84.97641150672143,66.50396249826105,594.7128651088003,Medium Value
2023-01-18,1251.276718106766,77.3914389375894,63.15133083586326,614.041169726655,Medium Value
2023-01-19,1331.3616071065292,115.39954719861586,111.5749307380497,557.8562156199574,Medium Value
2023-01-20,1225.7373171185238,125.36779044807804,119.44733043902642,597.0946678578495,Medium Value
2023-01-21,1539.2498273828694,108.489724881129,96.99869166031758,625.119166453635,High Value
2023-01-22,1120.0821316144745,118.81071169924019,104.60131667304344,594.4891368718952,High Value
2023-01-23,1182.358383220702,82.64717820041251,74.67500489190547,590.0794766182122,Medium Value
2023-01-24,1226.2368235757576,102.9172370485662,104.36549798596118,525.1342948463379,Medium Value
2023-01-25,1100.5491965651022,72.60257886567408,67.3671985229593,569.78868853564,High Value
2023-01-26,1356.7744142591946,84.56438501013483,80.65663738392043,607.8850812073188,High Value
2023-01-27,1352.9795116888467,117.57347096381791,104.80383623827836,602.4460230673309,High Value
2023-01-28,1274.6273058334878,95.20810983612381,85.99178188809724,506.4403512274971,Low Value
2023-01-29,1229.3866374609322,124.18763941373268,115.00468895629463,492.98866293761586,Low Value
2023-01-30,1143.4239058478593,110.7592000738399,100.31375420557606,503.34509487546217,Low Value
2023-01-31,1224.104470160511,154.68844318123485,129.73271395066809,528.2401176731748,Medium Value
2023-02-01,1387.5024415084358,101.87530860303893,98.09048155112235,462.22552291265794,Low Value
2023-02-02,1302.0161810611608,71.87189465636902,61.60903680187546,512.203504282514,Medium Value
2023-02-03,1290.646453929361,99.30940687810383,99.93505439837472,501.7686885701881,Medium Value
2023-02-04,1393.579176586824,80.73968747867747,76.09996129463958,462.4146566236603,Low Value
2023-02-05,1469.3540188285563,119.54360001626146,107.94410209283406,478.64129170845797,Medium Value
2023-02-06,1389.3480506419914,100.83960128940046,92.95227686097759,457.9380857735134,Low Value
2023-02-07,1405.188663323691,97.25456365804368,86.98661784942175,449.2551614455315,Low Value
2023-02-08,1521.0245971933614,97.51735222236681,85.33345316986833,556.8295570110455,High Value
2023-02-09,1411.4947233348773,114.80681635895478,104.36412602948789,456.2089480090081,Low Value
