date,daily_sales,marketing_spend,new_customers,repeat_customers,product_category,sales_channel,profit_margin,profit,customer_satisfaction
2024-03-21 03:16:51.546910,12596.05698361348,2185.235509506328,552.8228163822816,1597.8579552366841,Home Goods,Online,0.385,4849.4819386911895,85.2577313459612
2024-03-22 03:16:51.546910,11906.539956419105,2383.887336110058,514.5985051757181,1471.781923062532,Home Goods,Online,0.385,4584.017883221355,86.36958710515017
2024-03-23 03:16:51.546910,12922.102157413285,1724.294501268236,539.6135306239571,1590.7168031739914,Home Goods,Online,0.385,4975.009330604114,75.42796994223201
2024-03-24 03:16:51.546910,11704.044924700138,2118.6058713862103,572.2635106808954,1755.5055049826922,Books,Store,0.18000000000000002,2106.728086446025,97.79144214852501
2024-03-25 03:16:51.546910,12008.461327868787,1877.8875182397628,514.317021600138,1495.9521273078506,Toys,Online,0.49500000000000005,5944.18835729505,83.94977683443912
2024-03-26 03:16:51.546910,12080.555271898615,1912.594963327221,511.22617737087734,1496.4725675075085,Toys,Online,0.49500000000000005,5979.874859589815,69.46464038410807
2024-03-27 03:16:51.546910,11940.381756256382,1893.5452632484187,614.9229522133737,1811.9488868621588,Clothing,Phone,0.4,4776.1527025025525,77.43796456420152
2024-03-28 03:16:51.546910,11188.315348798458,1841.2299021762612,572.1192034735623,1706.906458576884,Toys,Store,0.405,4531.267716263376,96.10009367211632
2024-03-29 03:16:51.546910,12013.0745864789,2025.736389717222,521.5358287430076,1504.286529898618,Toys,Online,0.49500000000000005,5946.471920307056,75.49481944939548
2024-03-30 03:16:51.546910,13298.598453877645,1851.8460488620808,543.4035646803572,1706.6507091663634,Home Goods,Online,0.385,5119.960404742893,62.35524317649451
2024-03-31 03:16:51.546910,10135.138096543646,2074.1314453162886,533.1047861398688,1486.0200410575417,Home Goods,Store,0.315,3192.5685004112484,84.39519094806639
2024-04-01 03:16:51.546910,10191.460455743292,2011.9964662865252,513.5250148810127,1522.9092845831021,Clothing,Store,0.36000000000000004,3668.9257640675855,90.62312749557931
2024-04-02 03:16:51.546910,19723.39206662336,1976.2584868191027,589.3772193031543,1622.1113359338626,Electronics,Online,0.275,5423.932818321425,72.03255218400449
2024-04-03 03:16:51.546910,8860.107603993278,1844.5393718000971,429.2216238378726,1273.0200420867998,Clothing,Partner,0.27999999999999997,2480.8301291181174,83.57681973400317
2024-04-04 03:16:51.546910,10927.166708021012,1912.7018461107823,490.0178888975139,1363.4154179273455,Clothing,Online,0.44000000000000006,4807.953351529246,81.69110998827865
2024-04-05 03:16:51.546910,12390.80021610151,2181.138365405632,520.2415580068159,1545.1976017611903,Books,Online,0.22000000000000003,2725.9760475423327,83.22531274283858
2024-04-06 03:16:51.546910,11918.063706407202,2132.2475657813893,483.55762769467776,1535.1614555981641,Books,Online,0.22000000000000003,2621.974015409585,82.40303506792812
2024-04-07 03:16:51.546910,13577.876860949276,1838.557087312835,556.0671525251335,1716.1589581553028,Clothing,Online,0.44000000000000006,5974.265818817682,77.76720487977136
2024-04-08 03:16:51.546910,10148.198606705031,2055.9386053744224,501.0029841713652,1491.5041862758785,Clothing,Store,0.36000000000000004,3653.3514984138114,85.8888946146494
2024-04-09 03:16:51.546910,11638.723414811016,2188.353576978967,493.4301278784974,1510.4632038414027,Clothing,Online,0.44000000000000006,5121.038302516848,77.27038409923486
2024-04-10 03:16:51.546910,15157.586255538357,1706.199104096367,642.0228037414748,1931.3292928080552,Toys,Online,0.49500000000000005,7503.005196491487,77.47578261341232
2024-04-11 03:16:51.546910,10993.71790792375,2150.7562068126604,538.211895317416,1666.520617292621,Books,Store,0.18000000000000002,1978.8692234262753,89.2572693268963
2024-04-12 03:16:51.546910,13608.244321806544,1911.563424563536,566.523088230053,1694.236017260323,Clothing,Online,0.44000000000000006,5987.62750159488,80.75143455040474
2024-04-13 03:16:51.546910,11880.529342592865,2160.211918087369,537.8674631136067,1456.2829907224036,Home Goods,Online,0.385,4574.003796898253,79.99615973556483
2024-04-14 03:16:51.546910,12999.151513007686,1895.444361076266,576.1821764440012,1613.7277358438291,Home Goods,Online,0.385,5004.6733325079595,70.31995816682272
2024-04-15 03:16:51.546910,13846.836624039213,1689.1237802678977,585.6779993951146,1763.5170365960273,Toys,Online,0.49500000000000005,6854.184128899411,75.05418841457016
2024-04-16 03:16:51.546910,12392.959814500173,1726.595720840201,517.133395167538,1605.6575659905598,Toys,Online,0.49500000000000005,6134.515108177586,77.46539936269723
2024-04-17 03:16:51.546910,17855.606856643484,2063.725205765142,597.5875217558146,1831.857991512514,Electronics,Store,0.225,4017.511542744784,77.32843498861912
2024-04-18 03:16:51.546910,19757.130377587193,2108.0567247931945,561.0795366098081,1631.7620488120112,Electronics,Online,0.275,5433.210853836478,75.18685988793897
2024-04-19 03:16:51.546910,20399.55983856961,1877.252907444048,546.198588656299,1666.3747968821303,Electronics,Online,0.275,5609.878955606643,71.6655873077143
2024-04-20 03:16:51.546910,11070.190161751096,2187.8387322364365,548.3619773390878,1664.7551116700006,Toys,Store,0.405,4483.4270155091945,85.84536264727593
2024-04-21 03:16:51.546910,13570.419569000263,1729.820236043202,645.1492969724615,1982.509754383154,Toys,Store,0.405,5496.019925445107,82.99645346258464
2024-04-22 03:16:51.546910,14099.995420544134,2050.9122967835624,595.4842716414445,1772.1944589935601,Toys,Online,0.49500000000000005,6979.497733169347,67.03390588294693
2024-04-23 03:16:51.546910,12900.263413388238,1823.9290245765665,550.4548943518981,1608.1048490845697,Home Goods,Online,0.385,4966.601414154472,66.74825839218775
2024-04-24 03:16:51.546910,15208.770678765815,1937.7690509846586,624.0350490359216,1887.1152397896797,Toys,Online,0.49500000000000005,7528.341485989079,79.94804773346014
2024-04-25 03:16:51.546910,12807.755000625779,2079.620014824405,565.1361936252082,1553.1282830602186,Home Goods,Online,0.385,4930.985675240925,78.33456038244697
2024-04-26 03:16:51.546910,21859.919823438526,1900.0616155203638,582.7046818354678,1837.0679884836354,Electronics,Online,0.275,6011.477951445595,74.19331103175543
2024-04-27 03:16:51.546910,18029.575791802516,1997.2371877472212,471.53405216809574,1486.483624127019,Electronics,Online,0.275,4958.133342745692,72.67236421031457
2024-04-28 03:16:51.546910,16031.192753083687,2277.4108664521063,538.8621281406557,1568.02177023706,Electronics,Phone,0.25,4007.798188270922,76.07283701686757
2024-04-29 03:16:51.546910,14701.222935754673,1962.7779387206206,633.4929217086877,1751.4850005708847,Clothing,Online,0.44000000000000006,6468.538091732057,81.84511686809394
2024-04-30 03:16:51.546910,12830.079611180623,2247.2987430543108,675.1825343881886,1923.6864945255743,Clothing,Store,0.36000000000000004,4618.828660025025,87.22309686200707
2024-05-01 03:16:51.546910,14759.237074954408,1856.2229577257908,605.790526199055,1898.0721822693934,Books,Online,0.22000000000000003,3247.03215648997,90.20454675153056
2024-05-02 03:16:51.546910,12047.641626971801,2190.1291722564033,623.955698017216,1856.9840204822062,Books,Store,0.18000000000000002,2168.5754928549245,93.85730920613298
2024-05-03 03:16:51.546910,11896.375192266616,2374.486068820959,594.0485902233166,1770.743391142404,Books,Store,0.18000000000000002,2141.3475346079913,91.49809129740115
2024-05-04 03:16:51.546910,10752.025566196426,1593.847452679953,534.1487323110049,1594.7374731186105,Clothing,Store,0.36000000000000004,3870.7292038307137,85.97101431078123
2024-05-05 03:16:51.546910,13851.164508812662,1930.8013096273476,594.8050532835945,1745.4587912838335,Clothing,Online,0.44000000000000006,6094.512383877573,72.81911059256352
2024-05-06 03:16:51.546910,14199.152937273528,2207.598794173583,604.6778299546654,1744.9425539835422,Books,Online,0.22000000000000003,3123.8136462001767,83.10076535544046
2024-05-07 03:16:51.546910,16056.013648163993,2053.5792995449083,637.4727255338148,2016.0554630150832,Books,Online,0.22000000000000003,3532.323002596079,85.88785654320019
2024-05-08 03:16:51.546910,12694.955943053152,2170.4215594438006,664.2786041471755,1927.2257998095133,Toys,Store,0.405,5141.457156936527,85.82159165950506
