date,daily_sales,marketing_spend,new_customers,repeat_customers,product_category,sales_channel,profit_margin,profit,customer_satisfaction
2024-03-21 03:16:51.546910,0.21168627918814756,0.3360774609991063,0.32403066812569936,0.26423247988294757,Home Goods,Online,0.6901408450704226,0.4041463079823505,0.6153202739350869
2024-03-22 03:16:51.546910,0.1727813665955251,0.4489684819407365,0.24314678123462777,0.1686279071290903,Home Goods,Online,0.6901408450704226,0.37109829881327233,0.6443326585894212
2024-03-23 03:16:51.546910,0.23008286475114914,0.0741312111029801,0.2960793894377866,0.2588172809736023,Home Goods,Online,0.6901408450704226,0.41977339689865095,0.3588258352020042
2024-03-24 03:16:51.546910,0.16135590326574734,0.2982127808652755,0.3651678101460104,0.38377801426604513,Books,Store,0.1126760563380284,0.06269686279438356,0.9423706453028744
2024-03-25 03:16:51.546910,0.17853211950108366,0.16141594838359477,0.24255115282510908,0.1869563872565042,Toys,Online,1.0,0.5404279137742883,0.5811909553746196
2024-03-26 03:16:51.546910,0.18259990677872429,0.18113969810785305,0.23601082581472957,0.18735104167316194,Toys,Online,1.0,0.5448705787255278,0.20322074926257103
2024-03-27 03:16:51.546910,0.17469083686633705,0.1703140232208171,0.4554365771907067,0.42657953106755153,Clothing,Phone,0.7323943661971832,0.3950174439422283,0.41127394876689655
2024-03-28 03:16:51.546910,0.13225667397836247,0.14058394410029115,0.36486245139742707,0.34692492658753904,Toys,Store,0.7464788732394367,0.364531353249918,0.8982371754921101
2024-03-29 03:16:51.546910,0.1787924153544346,0.24543636909411262,0.2578263837449554,0.1932764386184341,Toys,Online,1.0,0.5407121978790624,0.3605701834232104
2024-03-30 03:16:51.546910,0.25132607547357677,0.14661694997956237,0.30409922488425345,0.34673098954254145,Home Goods,Online,0.6901408450704226,0.4378185684708543,0.0177105652813422
2024-03-31 03:16:51.546910,0.07283280578146985,0.2729385941101649,0.2823066742197427,0.17942479821344484,Home Goods,Store,0.4929577464788734,0.19787472668020084,0.5928134392159137
2024-04-01 03:16:51.546910,0.076010706217937,0.2376281651109429,0.24087524082396097,0.20739823857047127,Clothing,Store,0.619718309859155,0.2571771402940112,0.7553230896143003
2024-04-02 03:16:51.546910,0.6138349390277881,0.21731877728680601,0.40138097472101686,0.2826240334510952,Electronics,Online,0.3802816901408453,0.47566053955545434,0.27022696322628065
2024-04-03 03:16:51.546910,0.0008912178159898294,0.14246466883863154,0.062486520911690796,0.01790501093110988,Clothing,Partner,0.3943661971830985,0.10926937414442986,0.5714591401027305
2024-04-04 03:16:51.546910,0.11752177310946108,0.18120043808071717,0.19113339697728884,0.08645262570869136,Clothing,Online,0.8450704225352114,0.39897635332736814,0.5222540736746056
2024-04-05 03:16:51.546910,0.20010498926469178,0.3337491120058942,0.2550876647326798,0.22429966705348528,Books,Online,0.22535211267605657,0.13978794866672017,0.5622870366602899
2024-04-06 03:16:51.546910,0.17343157604408707,0.3059651626780917,0.1774632739607294,0.2166891684562101,Books,Online,0.22535211267605657,0.12684058332400855,0.5408308036912078
2024-04-07 03:16:51.546910,0.26708391985972524,0.13906502124980025,0.3308957890221089,0.3539411790333495,Clothing,Online,0.8450704225352114,0.5441723010225856,0.41986503317697693
