date,numeric_0,numeric_1,numeric_2,numeric_3,numeric_4,category_0,category_1,target
2023-01-01,0.2550837433092854,0.7025910498335901,0.32505972345258116,0.6961334039711552,0.7302348594123684,B,C,0.49703858640246984
2023-01-02,0.2793409556375176,0.6115484834217326,0.10263027422865895,0.6533513643246561,0.7861410969224584,C,B,0.10348200285627872
2023-01-03,0.2635072960079794,0.659623596548327,0.2262741237579077,0.7055895649349084,0.8185027907254876,B,A,0.2346981477259064
2023-01-04,0.21756509245288688,0.594313979398082,0.2934637333334634,0.6989557835992425,0.6173306288048339,D,B,0.6264587896904157
2023-01-05,0.19105684697414674,0.6183847207000839,0.018787284221291896,0.7626889628922148,0.8291140195277633,E,E,0.22912168970795535
2023-01-06,0.2171343746347548,0.8281394570712592,0.12744074659042118,0.7077629635806839,0.7810021228306854,B,A,0.2836876974079137
2023-01-07,0.32240441017707483,0.7275601025691358,0.2459369506377218,0.6291172023523515,0.7718239927915593,D,C,0.21118177572858424
2023-01-08,0.2173794284058157,0.7671155155516997,0.3219328024582498,0.7481223242814944,0.8127219311206686,D,E,0.5111453638946019
2023-01-09,0.24109346860324038,0.8159465957908166,0.1406087988759092,0.7755204992248077,0.7815304360430685,E,C,0.26398979984736587
2023-01-10,0.2941307931309898,0.5760032752956356,0.18874450417135408,0.8370116741858299,0.7435362061083836,A,D,0.4501672471048911
2023-01-11,0.1525894221211547,0.6526370836963471,0.24541019941334252,0.7748903665100618,0.8551570049792762,D,E,0.47159489537068805
2023-01-12,0.2625893261113234,0.8880117278618466,0.07860687945475084,0.6759994140527885,0.8603877429290961,C,B,0.08288353960567521
2023-01-13,0.27884489699292075,0.7049899401731252,0.08657292646928984,0.7179443159717366,0.6250967999001573,E,C,0.30094378866356014
2023-01-14,0.1836963323548745,0.6127526976059894,0.08506240168002019,0.8140506862792758,0.9333548991449961,A,B,0.2304884416697733
2023-01-15,0.1755157367941172,0.7975686948983242,0.02112660192465234,0.7434622606969631,0.9662236327651635,E,A,0.11075906674920333
2023-01-16,0.1999950423564612,0.8000631273776218,0.08776895123707379,0.7820178835962907,0.8239396128794463,B,C,0.29344396383860266
2023-01-17,0.18615789070998387,0.8034813680735541,0.1987959737276811,0.7733017822904092,0.8878665390612295,D,C,0.2269605778521721
2023-01-18,0.2565880907082284,0.5824984412439594,0.2925974710093293,0.7349501970157007,0.8346417196087665,D,A,0.3001084461843267
2023-01-19,0.21883181422964823,0.9546114210739888,0.21942268532044898,0.9042657807026976,0.8405685918056661,E,A,0.41297478125197373
2023-01-20,0.15570492509224756,0.5886354044090361,0.2136270484026234,0.8126388454925861,0.9015989803094259,B,A,0.2963398350444584
2023-01-21,0.3441888248429706,0.6550774359120214,0.3811279790582894,0.7248490669372231,0.6999684394821815,E,A,0.5073476102891199
2023-01-22,0.2568370176304154,0.909524744080048,0.05740087056618358,0.7436142488284699,0.7878487148158712,C,D,0.15097207780150182
2023-01-23,0.2434817859218492,0.7668829797821378,0.250160148062763,0.7644066064518686,0.7371855677913571,D,C,0.39582348543243184
2023-01-24,0.04413365136055449,0.8556189380939699,0.10099590214500039,0.8282616207778783,0.8655228056056642,D,D,0.4156903011427973
2023-01-25,0.24018344641227327,0.6040816241985776,0.13458870799042164,0.7888731766262057,0.9154243324654292,C,D,0.12098425435239435
2023-01-26,0.29114060014126264,0.7370795271894337,0.2602443790215626,0.7285685706658642,0.7209436131402458,A,B,0.43665115925737386
2023-01-27,0.17939520206421514,0.7447376329324539,0.034025795244280975,0.8940510039119945,0.8758190668330599,D,C,0.21598429183916745
2023-01-28,0.28669330722993347,0.5576560388123242,0.1166754763195356,0.7603920647870774,0.7761991002724625,E,C,0.24453912860344748
2023-01-29,0.35546839928469753,0.8250909181943694,0.22625814227867974,0.7825049923194144,0.8947793241355958,A,C,0.14076216762787888
2023-01-30,0.3718232523973246,0.6202336947795517,0.2333347841858549,0.813749464327272,0.8887039214225637,A,C,0.18196990832099988
2023-01-31,0.23562851786727299,0.6463669712254024,0.19229498531949335,0.7832387144469143,0.7580369162828194,E,A,0.46886000533370265
2023-02-01,0.42543266378065947,0.6755629368320613,0.2578007665946474,0.708633414361255,0.6449881453657139,C,E,0.23968498498052018
2023-02-02,0.2849447521050307,0.6859250468632132,0.26633924969043427,0.6712218857212074,0.7491212424857695,A,B,0.41884893211737784
2023-02-03,0.08297045017273844,0.7641398711899806,0.2045781660852713,0.9300075430754309,0.8076514966683747,D,B,0.4708845698819091
2023-02-04,0.2744226439403295,0.6447512275682373,0.2673761716370198,0.7075109045635758,0.7106239179493143,B,A,0.4843441751707568
2023-02-05,0.202453443926871,0.9126316636474116,0.06853454868787016,0.7396666048440464,0.8637427931700057,A,D,0.12326793676578254
